"id","latitude","longitude","name","docks"
537,"51.51793","-0.067937","Old Montague Street, Whitechapel",18
538,"51.508981","-0.00699","Naval Row, Blackwall",21
54,"51.521748","-0.094475","Golden Lane, Barbican",27
540,"51.528302","-0.144466","Albany Street, The Regent's Park",27
541,"51.506613","-0.142844","Green Park Station, Mayfair",27
542,"51.514115","-0.033828","Salmon Lane, Limehouse",32
543,"51.509591","-0.204666","Lansdowne Walk, Ladbroke Grove",21
544,"51.526153","-0.102208","Percival Street, Finsbury",22
545,"51.539957","-0.145246","Arlington Road, Camden Town",20
546,"51.517428","-0.107987","New Fetter Lane, Holborn",21
547,"51.509474","-0.002275","East India DLR, Blackwall",51
548,"51.498386","-0.107913","Westminster Bridge Road, Elephant & Castle",26
