rental_id,bike_id,startstationid,endstationid,start_date,end_date
90762546,784,83,377,2019-09-01 00:26:00+00,2019-09-01 00:38:00+00
90762547,6027,732,115,2019-09-01 00:26:00+00,2019-09-01 00:42:00+00
90762548,3777,763,783,2019-09-01 00:26:00+00,2019-09-01 00:43:00+00
90762549,8659,586,477,2019-09-01 00:26:00+00,2019-09-01 00:28:00+00
90762550,8812,718,470,2019-09-01 00:27:00+00,2019-09-01 00:48:00+00
90762551,7552,732,115,2019-09-01 00:27:00+00,2019-09-01 00:42:00+00
90762552,3773,732,115,2019-09-01 00:27:00+00,2019-09-01 00:42:00+00
90762553,7380,763,783,2019-09-01 00:27:00+00,2019-09-01 00:43:00+00
90762554,808,383,341,2019-09-01 00:27:00+00,2019-09-01 00:35:00+00
90762555,13669,737,737,2019-09-01 00:27:00+00,2019-09-01 00:40:00+00
90762556,1394,115,478,2019-09-01 00:27:00+00,2019-09-01 00:36:00+00
90762557,15239,113,356,2019-09-01 00:27:00+00,2019-09-01 00:40:00+00
90762558,3639,763,783,2019-09-01 00:27:00+00,2019-09-01 00:43:00+00
90762559,1789,132,298,2019-09-01 00:27:00+00,2019-09-01 00:40:00+00
90762560,10130,386,367,2019-09-01 00:27:00+00,2019-09-01 00:55:00+00
90762561,16616,757,97,2019-09-01 00:28:00+00,2019-09-01 00:37:00+00
90762562,8989,591,611,2019-09-01 00:28:00+00,2019-09-01 00:33:00+00
90762563,4681,436,751,2019-09-01 00:28:00+00,2019-09-01 00:50:00+00
90762564,12076,139,273,2019-09-01 00:28:00+00,2019-09-01 00:38:00+00
90762565,12396,83,377,2019-09-01 00:28:00+00,2019-09-01 00:38:00+00
90762566,10754,421,411,2019-09-01 00:28:00+00,2019-09-01 00:33:00+00
90762567,8089,757,97,2019-09-01 00:28:00+00,2019-09-01 00:37:00+00
90762568,3991,690,772,2019-09-01 00:28:00+00,2019-09-01 00:44:00+00
90762569,2415,365,431,2019-09-01 00:28:00+00,2019-09-01 00:49:00+00
90762570,5792,116,592,2019-09-01 00:28:00+00,2019-09-01 00:41:00+00
90762571,12943,690,772,2019-09-01 00:28:00+00,2019-09-01 00:43:00+00
90762572,5535,690,772,2019-09-01 00:28:00+00,2019-09-01 00:43:00+00
90762573,3388,650,235,2019-09-01 00:28:00+00,2019-09-01 01:05:00+00
90762574,12781,510,499,2019-09-01 00:29:00+00,2019-09-01 00:36:00+00
90762576,7242,8,8,2019-09-01 00:29:00+00,2019-09-01 03:35:00+00
90762577,2880,132,792,2019-09-01 00:29:00+00,2019-09-01 00:45:00+00
90762578,14790,8,8,2019-09-01 00:29:00+00,2019-09-01 03:40:00+00
90762579,10289,643,655,2019-09-01 00:29:00+00,2019-09-01 00:55:00+00
90762580,15538,309,809,2019-09-01 00:29:00+00,2019-09-01 03:06:00+00
90762581,578,502,502,2019-09-01 00:29:00+00,2019-09-01 00:54:00+00
90762582,4470,244,695,2019-09-01 00:30:00+00,2019-09-01 00:43:00+00
90762583,8938,8,8,2019-09-01 00:30:00+00,2019-09-01 03:36:00+00
90762584,13139,612,272,2019-09-01 00:30:00+00,2019-09-01 00:50:00+00
90762585,12437,194,762,2019-09-01 00:30:00+00,2019-09-01 00:50:00+00
90762586,5323,502,502,2019-09-01 00:30:00+00,2019-09-01 00:54:00+00
90762587,16557,309,809,2019-09-01 00:30:00+00,2019-09-01 03:06:00+00
90762588,5640,325,579,2019-09-01 00:30:00+00,2019-09-01 00:44:00+00
90762589,14004,102,308,2019-09-01 00:30:00+00,2019-09-01 00:39:00+00
90762590,14665,325,579,2019-09-01 00:30:00+00,2019-09-01 00:44:00+00
90762591,3855,326,534,2019-09-01 00:30:00+00,2019-09-01 00:46:00+00
90762592,911,99,8,2019-09-01 00:31:00+00,2019-09-01 00:40:00+00
90762593,12062,293,303,2019-09-01 00:31:00+00,2019-09-01 01:15:00+00
90762594,8800,377,298,2019-09-01 00:31:00+00,2019-09-01 00:48:00+00
90762595,15683,49,49,2019-09-01 00:31:00+00,2019-09-01 01:51:00+00
90762596,16359,320,600,2019-09-01 00:31:00+00,2019-09-01 00:41:00+00
90762597,14352,830,828,2019-09-01 00:31:00+00,2019-09-01 00:34:00+00
90762598,8784,354,74,2019-09-01 00:31:00+00,2019-09-01 00:43:00+00
90762599,6009,325,277,2019-09-01 00:31:00+00,2019-09-01 01:22:00+00
90762600,15109,593,328,2019-09-01 00:31:00+00,2019-09-01 00:41:00+00
90762601,4682,397,436,2019-09-01 00:31:00+00,2019-09-01 01:29:00+00
90762602,2508,325,277,2019-09-01 00:32:00+00,2019-09-01 01:21:00+00
90762603,11975,680,633,2019-09-01 00:32:00+00,2019-09-01 00:48:00+00
90762604,4770,237,511,2019-09-01 00:32:00+00,2019-09-01 00:38:00+00
90762605,3351,325,277,2019-09-01 00:32:00+00,2019-09-01 01:21:00+00
90762606,3629,358,751,2019-09-01 00:32:00+00,2019-09-01 00:36:00+00
90762607,8167,113,155,2019-09-01 00:32:00+00,2019-09-01 00:34:00+00
90762609,13833,109,176,2019-09-01 00:32:00+00,2019-09-01 00:54:00+00
90762610,6281,186,186,2019-09-01 00:32:00+00,2019-09-01 00:52:00+00
